ErrMatrixCode	Reference	Classified	PixelSum
1	1	1	84
2	2	1	1
5	2	2	90
4	3	1	27
8	3	2	49
12	3	3	87
15	3	4	4
11	4	2	9
16	4	4	56

	> ERROR MATRIX (pixel count)
	> Reference
V_Classified	1	2	3	4	Total
1	84	1	27	0	112
2	0	90	49	9	148
3	0	0	87	0	87
4	0	0	4	56	60
Total	84	91	167	65	407

	> AREA BASED ERROR MATRIX
	> Reference
V_Classified	1	2	3	4	Area	Wi
1	0.1602	0.0019	0.0515	0.0000	901884600.0000	0.2137
2	0.0000	0.2680	0.1459	0.0268	1860030000.0000	0.4406
3	0.0000	0.0000	0.0062	0.0000	26326800.0000	0.0062
4	0.0000	0.0000	0.0226	0.3168	1432960200.0000	0.3395
Total	0.1602 	0.2699 	0.2263 	0.3436 	4221201600.0000 
Area	676413450	1139151865	955096832	1450539452	4221201600
SE	0.0088	0.0178	0.0221	0.0140
SE area	37067229	75323564	93372969	59242677
95% CI area	72651768	147634186	183011019	116115647
PA  [%]	100.0000	99.2931	2.7565	92.2022
UA  [%]	75.0000	60.8108	100.0000	93.3333
Kappa hat	0.7023	0.4633	1.0000	0.8984

Overall accuracy [%] = 75.1272
Kappa hat classification = 0.6587

Area unit = metre^2
SE = standard error
CI = confidence interval
PA = producer's accuracy
UA = user's accuracy
